                 Estimate  Std. Error       t value     Pr(>|t|)
(Intercept)  1.493269e+00 0.012783344 116.813630902 0.000000e+00
X395         5.373593e-02 0.019525914   2.752031244 5.968814e-03
X396         1.708607e-02 0.016393406   1.042252861 2.974032e-01
X397        -1.701723e-02 0.019605375  -0.867987842 3.854909e-01
X398        -5.422410e-02 0.042692790  -1.270099769 2.041766e-01
X399         1.789716e-02 0.026422928   0.677334357 4.982615e-01
X400        -1.026199e-02 0.015460941  -0.663736519 5.069250e-01
X401        -2.992909e-02 0.011925477  -2.509676133 1.215189e-02
X402         1.402975e-02 0.030097444   0.466144285 6.411560e-01
X403         2.849543e-02 0.027587128   1.032925018 3.017468e-01
X404        -1.509855e-02 0.014713120  -1.026196558 3.049061e-01
X405        -9.499621e-03 0.027755631  -0.342259221 7.321869e-01
X406        -4.851854e-02 0.025892534  -1.873842974 6.107784e-02
X407         1.369783e-01 0.050468925   2.714110885 6.694625e-03
X408         3.587398e-02 0.018659711   1.922536908 5.466070e-02
X409         1.902588e-02 0.023375754   0.813915013 4.157773e-01
X410         6.946779e-03 0.019411398   0.357871110 7.204724e-01
X411         9.639242e-03 0.012097437   0.796800337 4.256486e-01
X412         6.157770e-03 0.024162168   0.254851716 7.988602e-01
X413         4.999375e-02 0.036408872   1.373120073 1.698479e-01
X414         2.981208e-02 0.017431203   1.710270945 8.734966e-02
X415         1.085361e-02 0.016181114   0.670757790 5.024417e-01
X416        -2.252223e-02 0.021082859  -1.068272163 2.855090e-01
X417         4.473733e-02 0.022437809   1.993836758 4.628693e-02
X418         3.669669e-02 0.019897656   1.844272050 6.527109e-02
X419        -5.156362e-02 0.037882918  -1.361131122 1.736046e-01
X420        -2.511365e-02 0.012516767  -2.006400691 4.492953e-02
X421         5.789346e-03 0.027846790   0.207899956 8.353254e-01
X422         2.599731e-03 0.026775368   0.097094137 9.226600e-01
X423         8.316335e-03 0.017956460   0.463138865 6.433083e-01
X424         1.809635e-02 0.031434045   0.575692625 5.648789e-01
X425         4.608860e-02 0.037973633   1.213699922 2.249860e-01
X426         7.083125e-02 0.035070070   2.019706480 4.352875e-02
X427        -1.141424e-02 0.025556125  -0.446634147 6.551810e-01
X428        -6.215634e-03 0.017312311  -0.359029726 7.196056e-01
X429         5.276399e-02 0.021261726   2.481641968 1.314827e-02
X430        -2.975555e-02 0.041388781  -0.718927989 4.722578e-01
X431        -4.332523e-02 0.024081971  -1.799073196 7.213718e-02
X432         4.543765e-02 0.017958292   2.530176366 1.146626e-02
